aa	ah
aalam	the most knowledgeable
aali	superior
aali	great exalted
aalimu	educated man
aalimu	scholar having profound islamic knowledge
aathari	relic
aathari	ruins
abaa	hallo hey
abadani	not at all
abadani	never
abadi	forever
abadi	eternity
abadi	always
abadi	permanently
abakusi	abacus
abedari	pulley used on dhows
abee	word used in response to summons or address
abiri	sail
abiri	navigate
abiri	travel
abiri	forecast foretell predict
abiri	learn from experince or incidents
abiria	passenger
abjadi	alphabet
ablauti	ablaut
abra	chance
abra	opportunity
abra	spare time
abtali	heroes
abtali	heroin
abu	father
abudu	worship
abudu	toy
abunusi	ebony
abunuwasi	cunning character in Arabic tales
aburani	pledge
abuwabu	doors
abwe	wow
abyadhi	white
abyadhi	playing card or dice which has no number on it
acha	quit stop doing sth
acha	recant
acha	desist
acha	an expression of surprise and happiness
achama	open the mouth wide
achama	gape
achana	separate
achana	divorce
achana	differ
achanisha	disengage
achanisha	uncouple
achanisha	unlock achanishia
achano	variant
achari	chutney
ache	an expression of wishing sb happiness and prosperity especially during wedding
ache	initiation rites etc
achia	bequeath
achia	cave in
achia	concede
achia	leave
achia	slip
achia	release from
achika	be divorced
achilia	acquit
achilia	discharge
achilia	excuse from
achilia	exempt
achisha	stop sb from doing sth
achwa	be divorced
ada	fee school fees
ada	impost
ada	levy
ada	wharfage
ada	customary present or fee
ada	rite given to certain people for their service in certain activities
ada	ceremonies or rites eg
ada	initiation
ada	funeral
ada	wedding etc
adaa	prayer or fast observed as specified
adabu	good manners
adabu	proper behaviour
adabu	courtesy
adabu	etiquette he has no manners behave punish
adabu	teach good manners
Adamu	Adam
adana	musical instrument resembling a no
adapta	i- zi- adapter
adeade	bodily weakness
adesi	pea
adesi	lentil
adha	trouble
adha	discomfort
adhabu	punishment
adhabu	penalty
adhabu	retribution
adhabu	chastisement
adhabu	correction
adhabu	torment
adhabu	persecution
adhama	greatness
adhama	glory
adhama	majesty
adhama	honour
adhama	exaltation
adhana	Muslims call to prayer made by the muezzin
adharusi	fighting
adharusi	skirmish
adharusi	battle
adharusi	war
adhibu	punish
adhibu	correct
adhibu	chastise
adhibu	persecute
adhibu	torment
adhifari	perspiration of the armpit
adhifari	bad body odour
adhimisha	celebrate commemorate
adhimisha	glorify
adhimu	brilliant
adhimu	eminent
adhimu	glorious
adhini	call Moslems to public prayers
adhinia	make a special prayer
